state,vet_pop,overall_pop_18,vet_pop_p,vet_suicides,all_suicides,vet_suicides_p,vet_males,vet_males_p,vet_females,vet_females_p,vet_rate,civ_rate,year
New Jersey,497130,6615934,0.075141317915203,80,596,0.134228187919463,79.0,0.9875,1.0,0.0125,16.0923702049766,8.43302057068669,2007
New Mexico,178400,1465336,0.121746821206877,96,401,0.239401496259352,89.0,0.927083333333333,7.0,0.072916666666667,53.8116591928251,23.6997022384952,2007
New York,1041376,14857620,0.070090364405605,205,1396,0.146848137535817,197.0,0.960975609756098,8.0,0.039024390243902,19.6854930399779,8.62028782931164,2007
North Carolina,734260,6773333,0.108404532893924,229,1077,0.212627669452182,223.0,0.973799126637555,6.0,0.026200873362445,31.1878626099747,14.0418902040098,2007
North Dakota**,55232,491391,0.112399290992306,27,95,0.28421052631579,26.0,0.962962962962963,1.0,0.037037037037037,48.8847045191193,15.5906446960856,2007
Ohio,953338,8703442,0.10953574459392,275,1295,0.212355212355212,271.0,0.985454545454546,4.0,0.014545454545454,28.8460126418962,13.1611137089257,2007
Oklahoma,325423,2694837,0.120757953078424,112,531,0.210922787193974,,0.0,,0.0,34.4167437458324,17.6836973192528,2007
Oregon,348422,2881297,0.120925402691913,157,594,0.264309764309764,155.0,0.987261146496815,2.0,0.012738853503185,45.0603004402707,17.2531214528944,2007
Pennsylvania,1044143,9636871,0.108348757599848,324,1441,0.224843858431645,320.0,0.987654320987654,4.0,0.012345679012346,31.0302324490036,12.999364113469,2007
Rhode Island,80703,820384,0.098372225689433,16,96,0.166666666666667,,0.0,,0.0,19.8257809499027,10.8154731566716,2007
South Carolina,396961,3316277,0.119700797008211,123,530,0.232075471698113,116.0,0.943089430894309,7.0,0.056910569105691,30.9854116651258,13.9416219415781,2007
South Dakota,75167,597885,0.125721501626567,21,102,0.205882352941176,,0.0,,0.0,27.937791850147,15.4959270581843,2007
Tennessee,510068,4669784,0.109227321863281,182,844,0.21563981042654,178.0,0.978021978021978,4.0,0.021978021978022,35.6815169742074,15.9145480124124,2007
Texas,1613252,17190551,0.093845275814603,434,2433,0.178380600082203,427.0,0.983870967741936,7.0,0.016129032258064,26.902182672019,12.8327767220749,2007
